Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","178","Congo","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","29.54","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","5153.96","X","Figure from international organizations"
"FBS","Food Balances (2010-)","188","Costa Rica","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","35.67","E","Estimated value"
"FBS","Food Balances (2010-)","188","Costa Rica","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","53.11","E","Estimated value"
"FBS","Food Balances (2010-)","384","Côte d'Ivoire","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","27478.25","X","Figure from international organizations"
"FBS","Food Balances (2010-)","384","Côte d'Ivoire","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","49.61","E","Estimated value"
"FBS","Food Balances (2010-)","384","Côte d'Ivoire","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","15.62","E","Estimated value"
"FBS","Food Balances (2010-)","191","Croatia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","4060.14","X","Figure from international organizations"
"FBS","Food Balances (2010-)","191","Croatia","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","38.39","E","Estimated value"
"FBS","Food Balances (2010-)","191","Croatia","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","68.47","E","Estimated value"
"FBS","Food Balances (2010-)","192","Cuba","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","11256.37","X","Figure from international organizations"
"FBS","Food Balances (2010-)","192","Cuba","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","64.92","E","Estimated value"
"FBS","Food Balances (2010-)","192","Cuba","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","33.53","E","Estimated value"
"FBS","Food Balances (2010-)","196","Cyprus","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","1244.19","X","Figure from international organizations"
"FBS","Food Balances (2010-)","196","Cyprus","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","45.79","E","Estimated value"
"FBS","Food Balances (2010-)","196","Cyprus","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","58.49","E","Estimated value"
"FBS","Food Balances (2010-)","203","Czechia","511","Total Population - Both sexes","S2501","Population","2021","2021","1000 No","10510.75","X","Figure from international organizations"
